tweet_textall_hashtags

"b'So far the comp plan for turning the the plane, deboarding and having us wait in the airport until they get a different plan is free snacks and beverages... The same beverages we had access to when were actually on our way. \xf0\x9f\x98\x91 #JetBlue #Jetblueairlines #fuelproblem'","['JetBlue', 'Jetblueairlines', 'fuelproblem']"
,
"b""I normally am all about flying #JetBlue but today's travel plans are completely sideways. Got on a plane to turn tight back around to my backyard smh #Jetblueairline""","['JetBlue', 'Jetblueairline']"
,
b'@JetBlue Hearing from workers that if this plane is not fixed there is no back up plan. Can you please come up with one??? @JetBlue #jetblue #JetBlueFlashFares',"['jetblue', 'JetBlueFlashFares']"
,
b'@JetBlue We need to be into Vegas by tonight. This is my first time flying #JetBlue and it\xe2\x80\x99s pretty outrageous.',['JetBlue']
,
"b'@Delta, @AmericanAir any chance you can hook up a once loyal @JetBlue customer and get me in Vegas on time for my next meeting?  Already missed my first one...  #ComeStealMeAway #JetBlue #jetbluedelays'","['ComeStealMeAway', 'JetBlue', 'jetbluedelays']"
,
b'Why #LaRomanaAirport? Because since you land you start living great experiences &amp; creating the best ambiance for the most pleasant memories! We wish all visitors arriving today at LRM to enjoy a memorable vacation! #JetBlue #NeosAir #AzurAir #BluePanorama #airport #travel #flight https://t.co/I9JkAvS9vJ',"['LaRomanaAirport', 'JetBlue', 'NeosAir', 'AzurAir', 'BluePanorama', 'airport', 'travel', 'flight']"
,
b'#jetblue yhack2019 test',['jetblue']
,
b'US Bans flights to all Cuban airports except Havana beginning 10 December 2019. American Airlines and Jet Blue affected. #airtravel #travel #cuba #americanairlines #jetblue https://t.co/HEiKycmf52 https://t.co/VwloM192at',"['airtravel', 'travel', 'cuba', 'americanairlines', 'jetblue']"
,
b'Major new flights in New Zealand and Europe this week! Details here: https://t.co/bKQ1px9v6F  #saturdaymorning #travel #airtravel #jetblue #travelagentcentral https://t.co/UDJty9OUU2',"['saturdaymorning', 'travel', 'airtravel', 'jetblue', 'travelagentcentral']"
,
b'Reason 100000 I love working for this amazing company #jetblue ... our catering truck slogans are \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbc #Yassss https://t.co/1oRW8EEn51',"['jetblue', 'Yassss']"
,
b'#JetBlue reduces its #Cuba service.  #travel https://t.co/KM0FMDlcAL',"['JetBlue', 'Cuba', 'travel']"
,
b'Mood lighting   #travel #travelphotography #JetBlue #moodlighting #travelblogger https://t.co/8cB65gXAkI',"['travel', 'travelphotography', 'JetBlue', 'moodlighting', 'travelblogger']"
,
b'U.S. State Dept says U.S. flights to all #Cuban cities except #Havana will be banned starting in December in move to roll back Obama-era easing of relations with #Cuba -AP #JetBlue #AmericanAirlines #travel @KNX1070 @MottekOnMoney',"['Cuban', 'Havana', 'Cuba', 'JetBlue', 'AmericanAirlines', 'travel']"
,
b'Trump administration- banning U.S. flights to all Cuban cities but Havana Read More https://t.co/VzhqT3lK4Q   #administration #AmericanAirlines #Banning #Cities #Cuban #Havana #JetBlue #Trump #USflights https://t.co/EInuv9UFyX https://t.co/AzRqUR53w7',"['administration', 'AmericanAirlines', 'Banning', 'Cities', 'Cuban', 'Havana', 'JetBlue', 'Trump', 'USflights']"
,
b'New #YouTube video is Up! check it out and hit that subscribe and thumbs up button! Meet the crew and check out our newer remodeled ac and Fitness of course! #flightattendant #traveltips #JetBlue   Link: https://t.co/I3gILufSuT https://t.co/tKv4okf8pa',"['YouTube', 'flightattendant', 'traveltips', 'JetBlue']"
,
"b'Excited for our amazing racers, round the world in 80 hours, kindof, at least half of it.  Bon Voyage!!! #2019 #jetblue #lsc #fun #integrity #nopeeking @ JetBlue LSC Corp Hdq https://t.co/Ipk55Js3Sm'","['jetblue', 'lsc', 'fun', 'integrity', 'nopeeking']"
,
"b'A former #JetBlue employee scammed the airline out of $785,000. Now she faces prison time. https://t.co/UEXsg1mkBC'",['JetBlue']
,
"b'Aftermath of Hurricane Dorian we flew with 12 duffle bags to provide Deaf &amp; Hard-of-Hearing individuals with Disaster Relief.  ACCESSIBILITY is using captions, writing, or Sign Language\xe2\x80\x94so Thank You @AirlinkFlight &amp; @JetBlue \xf0\x9f\xa4\x9f#offthegridBAHAMAS   #asl #bahamas #deaf #jetblue https://t.co/SQfIMxC6J8'","['offthegridBAHAMAS', 'asl', 'bahamas', 'deaf', 'jetblue']"
,
b'I fly often and always try to fly with #JetBlue Today\xe2\x80\x99s flight had absolutely the best staff ever! Catie H should be awarded #JetBlueEmployeeOfTheMonth #TrueBlue https://t.co/kQQdEWPOos',"['JetBlue', 'JetBlueEmployeeOfTheMonth', 'TrueBlue']"
,
b'Leg room and a seat that fits a himan being??? I fucks wit #Jetblue \xf0\x9f\x98\x8e',['Jetblue']
,
b'Apparently there\xe2\x80\x99s an air traffic controller strike to #turksandcaicos and #JetBlue isn\xe2\x80\x99t giving us any information. 3 hour delay from JFK. Need info please! #vacaydelay #nosleep #AirportStrikeAlert',"['turksandcaicos', 'JetBlue', 'vacaydelay', 'nosleep', 'AirportStrikeAlert']"
,
"b'Best place to book your next travel, save money and book your next vacation.  https://t.co/KyfcTybwhr  Click on the link \xe2\x98\x9d \xe2\x9c\x88 \xe2\x9c\x88.. Beating all the other website.. #JetBlue #Dalta #cancun #puntacana #Jamaica #americaAirline #California #miamicarnival2019 #Boston #NewYork #Atlanta'","['JetBlue', 'Dalta', 'cancun', 'puntacana', 'Jamaica', 'americaAirline', 'California', 'miamicarnival2019', 'Boston', 'NewYork', 'Atlanta']"
,
b'@TCIGO what in GODS name is going on?  Your airport is ON STRIKE?  So much for getting the full day in - great for tourism \xf0\x9f\x99\x84 #jetblue #jfk #pls',"['jetblue', 'jfk', 'pls']"
,
b'@tciaa what in GODS name is going on?  Your airport is ON STRIKE?  So much for getting the full day in - great for tourism \xf0\x9f\x99\x84 #jetblue #jfk #pls',"['jetblue', 'jfk', 'pls']"
,
b'\xf0\x9f\x90\xa5TWEET TWEET LETS FLY  BARBADOS NO ONE HYDRO FLIGHT AUTHORITY BOOK NOW\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x94\xa5\xf0\x9f\xa4\xb3  https://t.co/Y3n0RFakfy  #barbados  #travelagent  #barbados2019 #topthingstodoinbarbados  #goingtobarbados  #virginholidays  #Airbnb  #viator  #NewYork  #london #virginairlines  #jetblue https://t.co/Lyi0urrI1f',"['barbados', 'travelagent', 'barbados2019', 'topthingstodoinbarbados', 'goingtobarbados', 'virginholidays', 'Airbnb', 'viator', 'NewYork', 'london', 'virginairlines', 'jetblue']"
,
"b'#JetBlue to drop #Mexico City in January. This is odd, no back story explanation either. I can\xe2\x80\x99t believe they couldn\xe2\x80\x99t make #MexicoCity work for them. https://t.co/yYClVI4vvS via @WorldALNews'","['JetBlue', 'Mexico', 'MexicoCity']"
,
b'@OfficialTCHTA what In GODS name is going on over there?? Your airport is CLOSED??  Great for tourism \xf0\x9f\x99\x84 #delayed #jetblue #jfk #pls',"['delayed', 'jetblue', 'jfk', 'pls']"
,
b'It\xe2\x80\x99s time to go #home \xf0\x9f\x99\x82#blessed #jetblue https://t.co/UW76m0IHKh',"['home', 'blessed', 'jetblue']"
,
b'Im not here to say please im here to tell you what to do. #Equalizer #fx #nowplaying #redeye #jetblue #frequentflyer #miles #coasttocoast #flying',"['Equalizer', 'fx', 'nowplaying', 'redeye', 'jetblue', 'frequentflyer', 'miles', 'coasttocoast', 'flying']"
,
"b'#ThrowbackThursday  On JetBlue, putting my headphones into the monitor and then immediately hearing; ""I JUST TOOK A DNA TEST, TURNS OUT, I\'M 100% THAT BITCH!""   Even 35,000 ft above air, you can\'t escape it! \xf0\x9f\x98\x82 #lizzo #JetBlue'","['ThrowbackThursday', 'lizzo', 'JetBlue']"
,
b'I got overly excited about my plane seat having a cup holder and now I\xe2\x80\x99m wondering if I\xe2\x80\x99ve been flying Spirit for too long #JetBlue https://t.co/gPQrq9BcLk',['JetBlue']
,
"b""The nice thing about being a former #eatingdisorder kid is that after #JetBlue loses your luggage it's easy to replace your wardrobe on #Poshmark because you've obsessively scrutinized your body and know how to display it optimally. #invisibledisabilitiesweek""","['eatingdisorder', 'JetBlue', 'Poshmark', 'invisibledisabilitiesweek']"
,
b'#JetBlue is trippin with all these delays!',['JetBlue']
,
